question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
月经来潮前性激素的生理变化是,出现雌、孕激素高峰,"['孕激素出现两个高峰', '只出现孕激素高峰', '雌、孕激素均不出现高峰']",孕激素出现两个高峰, 只出现孕激素高峰, 雌、孕激素均不出现高峰,出现雌、孕激素高峰,月经来潮前性激素的生理变化出现雌、孕激素高峰吗？回答'是'或者'不是'即可。,月经来潮前性激素的生理变化是什么？回答一句话即可。,请选择一个正确选项。月经来潮前性激素的生理变化是：A 孕激素出现两个高峰 ，B  只出现孕激素高峰 ，C  雌、孕激素均不出现高峰，D 出现雌、孕激素高峰。只能选择一个选项，禁止解释。,请选择一个正确选项。月经来潮前性激素的生理变化是：A 孕激素出现两个高峰 ，B  只出现孕激素高峰 ，C 出现雌、孕激素高峰。只能选择一个选项，禁止解释。,请选择一个正确选项。月经来潮前性激素的生理变化是：A 孕激素出现两个高峰 ，B 出现雌、孕激素高峰。只能选择一个选项，禁止解释。
婴儿每日需水量是,150ml/kg,"['180ml/kg', '110ml/kg', '80ml/kg']",180ml/kg, 110ml/kg, 80ml/kg,150ml/kg,婴儿每日需水量是150ml/kg吗？回答'是'或者'不是'即可。,婴儿每日需水量是什么？回答一句话即可。,请选择一个正确选项。婴儿每日需水量是：A 180ml/kg ，B  110ml/kg ，C  80ml/kg，D 150ml/kg。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿每日需水量是：A 180ml/kg ，B  110ml/kg ，C 150ml/kg。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿每日需水量是：A 180ml/kg ，B 150ml/kg。只能选择一个选项，禁止解释。
卵巢上皮癌的治疗方案是,紫杉醇＋卡铂,"['顺铂＋紫杉醇', '顺铂＋长春新碱＋异环磷酰胺', '顺铂＋长春新碱']",顺铂＋紫杉醇, 顺铂＋长春新碱＋异环磷酰胺, 顺铂＋长春新碱,紫杉醇＋卡铂,紫杉醇+卡铂是卵巢上皮癌的治疗方案吗？回答'是'或者'不是'即可。,卵巢上皮癌的治疗方案是什么？回答一句话即可。,请选择一个正确选项。卵巢上皮癌的治疗方案是：A 顺铂＋紫杉醇 ，B  顺铂＋长春新碱＋异环磷酰胺 ，C  顺铂＋长春新碱，D 紫杉醇＋卡铂。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢上皮癌的治疗方案是：A 顺铂＋紫杉醇 ，B  顺铂＋长春新碱＋异环磷酰胺 ，C 紫杉醇＋卡铂。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢上皮癌的治疗方案是：A 顺铂＋紫杉醇 ，B 紫杉醇＋卡铂。只能选择一个选项，禁止解释。
镜下可见典型印戒细胞的卵巢肿瘤是,库肯勃瘤,"['纤维瘤', '无性细胞瘤', '浆液性癌']",纤维瘤, 无性细胞瘤, 浆液性癌,库肯勃瘤,镜下可见典型印戒细胞的卵巢肿瘤是库肯勃瘤吗？回答'是'或者'不是'即可。,镜下可见典型印戒细胞的卵巢肿瘤是什么？回答一句话即可。,请选择一个正确选项。镜下可见典型印戒细胞的卵巢肿瘤是：A 纤维瘤 ，B  无性细胞瘤 ，C  浆液性癌，D 库肯勃瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。镜下可见典型印戒细胞的卵巢肿瘤是：A 纤维瘤 ，B  无性细胞瘤 ，C 库肯勃瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。镜下可见典型印戒细胞的卵巢肿瘤是：A 纤维瘤 ，B 库肯勃瘤。只能选择一个选项，禁止解释。
病毒侵入机体后最早产生的有免疫调节作用的物质是,IFN,"['SIgA', '中和抗体', '补体结合抗体']",SIgA, 中和抗体, 补体结合抗体,IFN,病毒侵入机体后最早产生的有免疫调节作用的物质是IFN吗？回答'是'或者'不是'即可。,病毒侵入机体后最早产生的有免疫调节作用的物质是什么？回答一句话即可。,请选择一个正确选项。病毒侵入机体后最早产生的有免疫调节作用的物质是：A SIgA ，B  中和抗体 ，C  补体结合抗体，D IFN。只能选择一个选项，禁止解释。,请选择一个正确选项。病毒侵入机体后最早产生的有免疫调节作用的物质是：A SIgA ，B  中和抗体 ，C IFN。只能选择一个选项，禁止解释。,请选择一个正确选项。病毒侵入机体后最早产生的有免疫调节作用的物质是：A SIgA ，B IFN。只能选择一个选项，禁止解释。
新生儿败血症的早期临床特点是,缺乏特异性症状,"['体重不增', '不哭，懒动', '食欲减退']",体重不增, 不哭，懒动, 食欲减退,缺乏特异性症状,新生儿败血症的早期临床特点是缺乏特异性症状吗？回答'是'或者'不是'即可。,新生儿败血症的早期临床特点是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症的早期临床特点是：A 体重不增 ，B  不哭，懒动 ，C  食欲减退，D 缺乏特异性症状。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的早期临床特点是：A 体重不增 ，B  不哭，懒动 ，C 缺乏特异性症状。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的早期临床特点是：A 体重不增 ，B 缺乏特异性症状。只能选择一个选项，禁止解释。
引起产后出血最常见的原因是,子宫收缩乏力,"['软产道损伤', '胎盘滞留', '凝血功能障碍']",软产道损伤, 胎盘滞留, 凝血功能障碍,子宫收缩乏力,引起产后出血最常见的原因是子宫收缩乏力吗？回答'是'或者'不是'即可。,引起产后出血最常见的原因是什么？回答一句话即可。,请选择一个正确选项。引起产后出血最常见的原因是：A 软产道损伤 ，B  胎盘滞留 ，C  凝血功能障碍，D 子宫收缩乏力。只能选择一个选项，禁止解释。,请选择一个正确选项。引起产后出血最常见的原因是：A 软产道损伤 ，B  胎盘滞留 ，C 子宫收缩乏力。只能选择一个选项，禁止解释。,请选择一个正确选项。引起产后出血最常见的原因是：A 软产道损伤 ，B 子宫收缩乏力。只能选择一个选项，禁止解释。
骑跨性会阴部损伤易损伤尿道的部位是,球部,"['前列腺部', '膜部', '尿道外口']",前列腺部, 膜部, 尿道外口,球部,骑跨性会阴部损伤易损伤尿道的部位是球部吗？回答'是'或者'不是'即可。,骑跨性会阴部损伤易损伤尿道的部位是什么？回答一句话即可。,请选择一个正确选项。骑跨性会阴部损伤易损伤尿道的部位是：A 前列腺部 ，B  膜部 ，C  尿道外口，D 球部。只能选择一个选项，禁止解释。,请选择一个正确选项。骑跨性会阴部损伤易损伤尿道的部位是：A 前列腺部 ，B  膜部 ，C 球部。只能选择一个选项，禁止解释。,请选择一个正确选项。骑跨性会阴部损伤易损伤尿道的部位是：A 前列腺部 ，B 球部。只能选择一个选项，禁止解释。
导致胎儿生长受限最常见的病因是,孕妇因素,"['臀先露', '前置胎盘', '脐带因素']",臀先露, 前置胎盘, 脐带因素,孕妇因素,导致胎儿生长受限最常见的病因是孕妇因素吗？回答'是'或者'不是'即可。,导致胎儿生长受限最常见的病因是什么？回答一句话即可。,请选择一个正确选项。导致胎儿生长受限最常见的病因是：A 臀先露 ，B  前置胎盘 ，C  脐带因素，D 孕妇因素。只能选择一个选项，禁止解释。,请选择一个正确选项。导致胎儿生长受限最常见的病因是：A 臀先露 ，B  前置胎盘 ，C 孕妇因素。只能选择一个选项，禁止解释。,请选择一个正确选项。导致胎儿生长受限最常见的病因是：A 臀先露 ，B 孕妇因素。只能选择一个选项，禁止解释。
易阻碍受精卵着床导致不孕的是,黏膜下肌瘤,"['阔韧带肌瘤', '宫颈肌瘤', '肌壁间肌瘤']",阔韧带肌瘤, 宫颈肌瘤, 肌壁间肌瘤,黏膜下肌瘤,易阻碍受精卵着床导致不孕的是黏膜下肌瘤吗？回答'是'或者'不是'即可。,易阻碍受精卵着床导致不孕的是什么？回答一句话即可。,请选择一个正确选项。易阻碍受精卵着床导致不孕的是：A 阔韧带肌瘤 ，B  宫颈肌瘤 ，C  肌壁间肌瘤，D 黏膜下肌瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。易阻碍受精卵着床导致不孕的是：A 阔韧带肌瘤 ，B  宫颈肌瘤 ，C 黏膜下肌瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。易阻碍受精卵着床导致不孕的是：A 阔韧带肌瘤 ，B 黏膜下肌瘤。只能选择一个选项，禁止解释。
可引起男子乳房女性化和性功能障碍的药物是,螺内酯,"['氢氯噻嗪', '糖皮质激素', '呋塞米']",氢氯噻嗪, 糖皮质激素, 呋塞米,螺内酯,螺内酯可以导致男子乳房女性化和性功能障碍吗？回答'是'或者'不是'即可。,可引起男子乳房女性化和性功能障碍的药物是什么？回答一句话即可。,请选择一个正确选项。可引起男子乳房女性化和性功能障碍的药物是：A 氢氯噻嗪 ，B  糖皮质激素 ，C  呋塞米，D 螺内酯。只能选择一个选项，禁止解释。,请选择一个正确选项。可引起男子乳房女性化和性功能障碍的药物是：A 氢氯噻嗪 ，B  糖皮质激素 ，C 螺内酯。只能选择一个选项，禁止解释。,请选择一个正确选项。可引起男子乳房女性化和性功能障碍的药物是：A 氢氯噻嗪 ，B 螺内酯。只能选择一个选项，禁止解释。
骑跨伤致尿道损伤的部位是,球部,"['前列腺部', '膜部', '尿道全部']",前列腺部, 膜部, 尿道全部,球部,骑跨伤致尿道损伤的部位是球部吗？回答'是'或者'不是'即可。,骑跨伤致尿道损伤的部位是什么？回答一句话即可。,请选择一个正确选项。骑跨伤致尿道损伤的部位是：A 前列腺部 ，B  膜部 ，C  尿道全部，D 球部。只能选择一个选项，禁止解释。,请选择一个正确选项。骑跨伤致尿道损伤的部位是：A 前列腺部 ，B  膜部 ，C 球部。只能选择一个选项，禁止解释。,请选择一个正确选项。骑跨伤致尿道损伤的部位是：A 前列腺部 ，B 球部。只能选择一个选项，禁止解释。
新生儿疱疹最可能的传播途径是,经产道感染,"['医源性感染', '呼吸道感染', '消化道感染']",医源性感染, 呼吸道感染, 消化道感染,经产道感染,新生儿疱疹最可能的传播途径是经产道感染吗？回答'是'或者'不是'即可。,新生儿疱疹最可能的传播途径是什么？回答一句话即可。,请选择一个正确选项。新生儿疱疹最可能的传播途径是：A 医源性感染 ，B  呼吸道感染 ，C  消化道感染，D 经产道感染。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿疱疹最可能的传播途径是：A 医源性感染 ，B  呼吸道感染 ，C 经产道感染。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿疱疹最可能的传播途径是：A 医源性感染 ，B 经产道感染。只能选择一个选项，禁止解释。
最常见的低度恶性卵巢性索间质肿瘤是,颗粒细胞瘤,"['颗粒-卵泡膜细胞瘤', '间质细胞瘤', '无性细胞瘤']",颗粒-卵泡膜细胞瘤, 间质细胞瘤, 无性细胞瘤,颗粒细胞瘤,最常见的低度恶性卵巢性索间质肿瘤是颗粒细胞瘤吗？回答'是'或者'不是'即可。,最常见的低度恶性卵巢性索间质肿瘤是什么？回答一句话即可。,请选择一个正确选项。最常见的低度恶性卵巢性索间质肿瘤是：A 颗粒-卵泡膜细胞瘤 ，B  间质细胞瘤 ，C  无性细胞瘤，D 颗粒细胞瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。最常见的低度恶性卵巢性索间质肿瘤是：A 颗粒-卵泡膜细胞瘤 ，B  间质细胞瘤 ，C 颗粒细胞瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。最常见的低度恶性卵巢性索间质肿瘤是：A 颗粒-卵泡膜细胞瘤 ，B 颗粒细胞瘤。只能选择一个选项，禁止解释。
晚期卵巢癌最常见的症状是,腹胀,"['腹痛', '便秘', '发热']",腹痛, 便秘, 发热,腹胀,晚期卵巢癌最常见的症状之一是腹胀吗？回答'是'或者'不是'即可。,晚期卵巢癌最常见的症状是什么？回答一句话即可。,请选择一个正确选项。晚期卵巢癌最常见的症状是：A 腹痛 ，B  便秘 ，C  发热，D 腹胀。只能选择一个选项，禁止解释。,请选择一个正确选项。晚期卵巢癌最常见的症状是：A 腹痛 ，B  便秘 ，C 腹胀。只能选择一个选项，禁止解释。,请选择一个正确选项。晚期卵巢癌最常见的症状是：A 腹痛 ，B 腹胀。只能选择一个选项，禁止解释。
妊娠期间hCG分泌量达高峰的时间是,妊娠8～10周,"['妊娠4～6周', '妊娠16～18周', '妊娠20～22周']",妊娠4～6周, 妊娠16～18周, 妊娠20～22周,妊娠8～10周,妊娠期间hCG分泌量达高峰的时间是妊娠8～10周吗？回答'是'或者'不是'即可。,妊娠期间hCG分泌量达高峰的时间是什么？回答一句话即可。,请选择一个正确选项。妊娠期间hCG分泌量达高峰的时间是：A 妊娠4～6周 ，B  妊娠16～18周 ，C  妊娠20～22周，D 妊娠8～10周。只能选择一个选项，禁止解释。,请选择一个正确选项。妊娠期间hCG分泌量达高峰的时间是：A 妊娠4～6周 ，B  妊娠16～18周 ，C 妊娠8～10周。只能选择一个选项，禁止解释。,请选择一个正确选项。妊娠期间hCG分泌量达高峰的时间是：A 妊娠4～6周 ，B 妊娠8～10周。只能选择一个选项，禁止解释。
新生儿败血症的特点是,缺乏特异症状,"['高热', '白细胞总数增加', '有产前或产时感染证据']",高热, 白细胞总数增加, 有产前或产时感染证据,缺乏特异症状,新生儿败血症的特点是缺乏特异症状吗？回答'是'或者'不是'即可。,新生儿败血症的特点是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症的特点是：A 高热 ，B  白细胞总数增加 ，C  有产前或产时感染证据，D 缺乏特异症状。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的特点是：A 高热 ，B  白细胞总数增加 ，C 缺乏特异症状。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的特点是：A 高热 ，B 缺乏特异症状。只能选择一个选项，禁止解释。
新生儿及幼婴浓缩功能差的原因是,尿素形成量少,"['肾小管数量少', '血醛固酮浓度高', '血抗利尿激素浓度高']",肾小管数量少, 血醛固酮浓度高, 血抗利尿激素浓度高,尿素形成量少,新生儿及幼婴浓缩功能差的原因是尿素形成量少吗？回答'是'或者'不是'即可。,新生儿及幼婴浓缩功能差的原因是什么？回答一句话即可。,请选择一个正确选项。新生儿及幼婴浓缩功能差的原因是：A 肾小管数量少 ，B  血醛固酮浓度高 ，C  血抗利尿激素浓度高，D 尿素形成量少。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿及幼婴浓缩功能差的原因是：A 肾小管数量少 ，B  血醛固酮浓度高 ，C 尿素形成量少。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿及幼婴浓缩功能差的原因是：A 肾小管数量少 ，B 尿素形成量少。只能选择一个选项，禁止解释。
能透过血-胎屏障的抗体分子是,IgG,"['IgD', 'IgA', 'IgM']",IgD, IgA, IgM,IgG,能透过血-胎屏障的抗体分子是IgG吗？回答'是'或者'不是'即可。,能透过血-胎屏障的抗体分子是什么？回答一句话即可。,请选择一个正确选项。能透过血-胎屏障的抗体分子是：A IgD ，B  IgA ，C  IgM，D IgG。只能选择一个选项，禁止解释。,请选择一个正确选项。能透过血-胎屏障的抗体分子是：A IgD ，B  IgA ，C IgG。只能选择一个选项，禁止解释。,请选择一个正确选项。能透过血-胎屏障的抗体分子是：A IgD ，B IgG。只能选择一个选项，禁止解释。
足月新生儿睡眠时平均心率为,120次/分,"['110次/分', '100次/分', '130次/分']",110次/分, 100次/分, 130次/分,120次/分,足月新生儿睡眠时平均心率为120次/分吗？回答'是'或者'不是'即可。,足月新生儿睡眠时平均心率为什么？回答一句话即可。,请选择一个正确选项。足月新生儿睡眠时平均心率为：A 110次/分 ，B  100次/分 ，C  130次/分，D 120次/分。只能选择一个选项，禁止解释。,请选择一个正确选项。足月新生儿睡眠时平均心率为：A 110次/分 ，B  100次/分 ，C 120次/分。只能选择一个选项，禁止解释。,请选择一个正确选项。足月新生儿睡眠时平均心率为：A 110次/分 ，B 120次/分。只能选择一个选项，禁止解释。
3个月龄婴儿的头围约是,40cm,"['46cm', '50cm', '56cm']",46cm, 50cm, 56cm,40cm,3个月龄婴儿的头围约是40cm吗？回答'是'或者'不是'即可。,3个月龄婴儿的头围约是什么？回答一句话即可。,请选择一个正确选项。3个月龄婴儿的头围约是：A 46cm ，B  50cm ，C  56cm，D 40cm。只能选择一个选项，禁止解释。,请选择一个正确选项。3个月龄婴儿的头围约是：A 46cm ，B  50cm ，C 40cm。只能选择一个选项，禁止解释。,请选择一个正确选项。3个月龄婴儿的头围约是：A 46cm ，B 40cm。只能选择一个选项，禁止解释。
月经周期中控制排卵发生的关键因素是,黄体生成素高峰,"['孕激素高峰', '卵泡刺激素高峰', '促性腺激素释放激素高峰']",孕激素高峰, 卵泡刺激素高峰, 促性腺激素释放激素高峰,黄体生成素高峰,月经周期中控制排卵发生的关键因素是黄体生成素高峰吗？回答'是'或者'不是'即可。,月经周期中控制排卵发生的关键因素是什么？回答一句话即可。,请选择一个正确选项。月经周期中控制排卵发生的关键因素是：A 孕激素高峰 ，B  卵泡刺激素高峰 ，C  促性腺激素释放激素高峰，D 黄体生成素高峰。只能选择一个选项，禁止解释。,请选择一个正确选项。月经周期中控制排卵发生的关键因素是：A 孕激素高峰 ，B  卵泡刺激素高峰 ，C 黄体生成素高峰。只能选择一个选项，禁止解释。,请选择一个正确选项。月经周期中控制排卵发生的关键因素是：A 孕激素高峰 ，B 黄体生成素高峰。只能选择一个选项，禁止解释。
婴儿总能量的每日需要是,110kcal/kg,"['95kcal/kg', '100kcal/kg', '105kcal/kg']",95kcal/kg, 100kcal/kg, 105kcal/kg,110kcal/kg,婴儿总能量的每日需要达到110kcal/kg吗？回答'是'或者'不是'即可。,婴儿总能量的每日需要是什么？回答一句话即可。,请选择一个正确选项。婴儿总能量的每日需要是：A 95kcal/kg ，B  100kcal/kg ，C  105kcal/kg，D 110kcal/kg。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿总能量的每日需要是：A 95kcal/kg ，B  100kcal/kg ，C 110kcal/kg。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿总能量的每日需要是：A 95kcal/kg ，B 110kcal/kg。只能选择一个选项，禁止解释。
婴儿最常见的肺炎是,支气管肺炎,"['金黄色葡萄球菌肺炎', '腺病毒肺炎', '支原体肺炎']",金黄色葡萄球菌肺炎, 腺病毒肺炎, 支原体肺炎,支气管肺炎,婴儿最常见的肺炎是支气管肺炎吗？回答'是'或者'不是'即可。,婴儿最常见的肺炎是什么？回答一句话即可。,请选择一个正确选项。婴儿最常见的肺炎是：A 金黄色葡萄球菌肺炎 ，B  腺病毒肺炎 ，C  支原体肺炎，D 支气管肺炎。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿最常见的肺炎是：A 金黄色葡萄球菌肺炎 ，B  腺病毒肺炎 ，C 支气管肺炎。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿最常见的肺炎是：A 金黄色葡萄球菌肺炎 ，B 支气管肺炎。只能选择一个选项，禁止解释。
治疗急性呼吸窘迫综合征最有效的措施是,应用呼气末正压通气,"['持续低浓度吸氧', '持续高浓度吸氧', '早期应用糖皮质激素']",持续低浓度吸氧, 持续高浓度吸氧, 早期应用糖皮质激素,应用呼气末正压通气,治疗急性呼吸窘迫综合征最有效的措施是应用呼气末正压通气吗？回答'是'或者'不是'即可。,治疗急性呼吸窘迫综合征最有效的措施是什么？回答一句话即可。,请选择一个正确选项。治疗急性呼吸窘迫综合征最有效的措施是：A 持续低浓度吸氧 ，B  持续高浓度吸氧 ，C  早期应用糖皮质激素，D 应用呼气末正压通气。只能选择一个选项，禁止解释。,请选择一个正确选项。治疗急性呼吸窘迫综合征最有效的措施是：A 持续低浓度吸氧 ，B  持续高浓度吸氧 ，C 应用呼气末正压通气。只能选择一个选项，禁止解释。,请选择一个正确选项。治疗急性呼吸窘迫综合征最有效的措施是：A 持续低浓度吸氧 ，B 应用呼气末正压通气。只能选择一个选项，禁止解释。
子宫肌瘤最常见的类型是,肌壁间肌瘤,"['黏膜下肌瘤', '阔韧带肌瘤', '宫颈肌瘤']",黏膜下肌瘤, 阔韧带肌瘤, 宫颈肌瘤,肌壁间肌瘤,子宫肌瘤最常见的类型是肌壁间肌瘤吗？回答'是'或者'不是'即可。,子宫肌瘤最常见的类型是什么？回答一句话即可。,请选择一个正确选项。子宫肌瘤最常见的类型是：A 黏膜下肌瘤 ，B  阔韧带肌瘤 ，C  宫颈肌瘤，D 肌壁间肌瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫肌瘤最常见的类型是：A 黏膜下肌瘤 ，B  阔韧带肌瘤 ，C 肌壁间肌瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫肌瘤最常见的类型是：A 黏膜下肌瘤 ，B 肌壁间肌瘤。只能选择一个选项，禁止解释。
孕38周出生，体重2450g被称为,低出生体重儿,"['足月小样儿', '早产儿', '巨大儿']",足月小样儿, 早产儿, 巨大儿,低出生体重儿,低出生体重儿是指出生时体重低于2500g的婴儿吗？回答'是'或者'不是'即可。,孕38周出生，体重2450g被称为什么？回答一句话即可。,请选择一个正确选项。孕38周出生，体重2450g被称为：A 足月小样儿 ，B  早产儿 ，C  巨大儿，D 低出生体重儿。只能选择一个选项，禁止解释。,请选择一个正确选项。孕38周出生，体重2450g被称为：A 足月小样儿 ，B  早产儿 ，C 低出生体重儿。只能选择一个选项，禁止解释。,请选择一个正确选项。孕38周出生，体重2450g被称为：A 足月小样儿 ，B 低出生体重儿。只能选择一个选项，禁止解释。
重度新生儿寒冷损伤综合征患儿复温时间为,12～24小时,"['0～1小时', '6～12小时', '3～6小时']",0～1小时, 6～12小时, 3～6小时,12～24小时,重度新生儿寒冷损伤综合征患儿复温时间为12～24小时吗？回答'是'或者'不是'即可。,重度新生儿寒冷损伤综合征患儿复温时间为什么？回答一句话即可。,请选择一个正确选项。重度新生儿寒冷损伤综合征患儿复温时间为：A 0～1小时 ，B  6～12小时 ，C  3～6小时，D 12～24小时。只能选择一个选项，禁止解释。,请选择一个正确选项。重度新生儿寒冷损伤综合征患儿复温时间为：A 0～1小时 ，B  6～12小时 ，C 12～24小时。只能选择一个选项，禁止解释。,请选择一个正确选项。重度新生儿寒冷损伤综合征患儿复温时间为：A 0～1小时 ，B 12～24小时。只能选择一个选项，禁止解释。
早产儿的外观特点之一是,皮肤发亮，水肿毳毛多,"['肝葡萄糖醛酸基转移酶活性低', '呼吸常不规则，甚至呼吸暂停', '足月新生儿生后3～5天出现乳腺肿大']",肝葡萄糖醛酸基转移酶活性低, 呼吸常不规则，甚至呼吸暂停, 足月新生儿生后3～5天出现乳腺肿大,皮肤发亮，水肿毳毛多,早产儿的外观特点之一是皮肤发亮，水肿毳毛多吗？回答'是'或者'不是'即可。,早产儿的外观特点之一是什么？回答一句话即可。,请选择一个正确选项。早产儿的外观特点之一是：A 肝葡萄糖醛酸基转移酶活性低 ，B  呼吸常不规则，甚至呼吸暂停 ，C  足月新生儿生后3～5天出现乳腺肿大，D 皮肤发亮，水肿毳毛多。只能选择一个选项，禁止解释。,请选择一个正确选项。早产儿的外观特点之一是：A 肝葡萄糖醛酸基转移酶活性低 ，B  呼吸常不规则，甚至呼吸暂停 ，C 皮肤发亮，水肿毳毛多。只能选择一个选项，禁止解释。,请选择一个正确选项。早产儿的外观特点之一是：A 肝葡萄糖醛酸基转移酶活性低 ，B 皮肤发亮，水肿毳毛多。只能选择一个选项，禁止解释。
婴儿不典型结核性脑膜炎首发的症状是,惊厥,"['嗜睡', '前囟膨隆', '喷射性呕吐']",嗜睡, 前囟膨隆, 喷射性呕吐,惊厥,婴儿不典型结核性脑膜炎首发的症状是惊厥吗？回答'是'或者'不是'即可。,婴儿不典型结核性脑膜炎首发的症状是什么？回答一句话即可。,请选择一个正确选项。婴儿不典型结核性脑膜炎首发的症状是：A 嗜睡 ，B  前囟膨隆 ，C  喷射性呕吐，D 惊厥。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿不典型结核性脑膜炎首发的症状是：A 嗜睡 ，B  前囟膨隆 ，C 惊厥。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿不典型结核性脑膜炎首发的症状是：A 嗜睡 ，B 惊厥。只能选择一个选项，禁止解释。
与系统性红斑狼疮患者发生雷诺现象相关的自身抗体是,抗RNP抗体,"['抗dsDNA抗体', '抗SSA抗体', '抗ANA抗体']",抗dsDNA抗体, 抗SSA抗体, 抗ANA抗体,抗RNP抗体,与系统性红斑狼疮患者发生雷诺现象相关的自身抗体是抗RNP抗体吗？回答'是'或者'不是'即可。,与系统性红斑狼疮患者发生雷诺现象相关的自身抗体是什么？回答一句话即可。,请选择一个正确选项。与系统性红斑狼疮患者发生雷诺现象相关的自身抗体是：A 抗dsDNA抗体 ，B  抗SSA抗体 ，C  抗ANA抗体，D 抗RNP抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。与系统性红斑狼疮患者发生雷诺现象相关的自身抗体是：A 抗dsDNA抗体 ，B  抗SSA抗体 ，C 抗RNP抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。与系统性红斑狼疮患者发生雷诺现象相关的自身抗体是：A 抗dsDNA抗体 ，B 抗RNP抗体。只能选择一个选项，禁止解释。
放置宫内节育器的时间是,月经后3～7天,"['月经前3～7天', '月经后1天', '无时间限制']",月经前3～7天, 月经后1天, 无时间限制,月经后3～7天,放置宫内节育器的时间是月经后3～7天吗？回答'是'或者'不是'即可。,放置宫内节育器的时间是什么？回答一句话即可。,请选择一个正确选项。放置宫内节育器的时间是：A 月经前3～7天 ，B  月经后1天 ，C  无时间限制，D 月经后3～7天。只能选择一个选项，禁止解释。,请选择一个正确选项。放置宫内节育器的时间是：A 月经前3～7天 ，B  月经后1天 ，C 月经后3～7天。只能选择一个选项，禁止解释。,请选择一个正确选项。放置宫内节育器的时间是：A 月经前3～7天 ，B 月经后3～7天。只能选择一个选项，禁止解释。
产后出血最常见的病因是,子宫收缩乏力,"['凝血功能障碍', '软产道损伤', '急产']",凝血功能障碍, 软产道损伤, 急产,子宫收缩乏力,产后出血最常见的病因是子宫收缩乏力吗？回答'是'或者'不是'即可。,产后出血最常见的病因是什么？回答一句话即可。,请选择一个正确选项。产后出血最常见的病因是：A 凝血功能障碍 ，B  软产道损伤 ，C  急产，D 子宫收缩乏力。只能选择一个选项，禁止解释。,请选择一个正确选项。产后出血最常见的病因是：A 凝血功能障碍 ，B  软产道损伤 ，C 子宫收缩乏力。只能选择一个选项，禁止解释。,请选择一个正确选项。产后出血最常见的病因是：A 凝血功能障碍 ，B 子宫收缩乏力。只能选择一个选项，禁止解释。
3个月小儿按公式计算其身高、头围约是,60cm、40cm,"['55cm、38cm', '65cm、42cm', '75cm、46cm']",55cm、38cm, 65cm、42cm, 75cm、46cm,60cm、40cm,3个月小儿按公式计算其身高、头围约是60cm、40cm吗？回答'是'或者'不是'即可。,3个月小儿按公式计算其身高、头围约是什么？回答一句话即可。,请选择一个正确选项。3个月小儿按公式计算其身高、头围约是：A 55cm、38cm ，B  65cm、42cm ，C  75cm、46cm，D 60cm、40cm。只能选择一个选项，禁止解释。,请选择一个正确选项。3个月小儿按公式计算其身高、头围约是：A 55cm、38cm ，B  65cm、42cm ，C 60cm、40cm。只能选择一个选项，禁止解释。,请选择一个正确选项。3个月小儿按公式计算其身高、头围约是：A 55cm、38cm ，B 60cm、40cm。只能选择一个选项，禁止解释。
